ep	lat	lon	d_lat	d_lon	gpsweek	date
AZUL	-36.76702223009906	-59.8812801842934	-0.001	0.001	1752	2013-08-07
BCAR	-37.76123356567683	-58.30109509354228	-0.007	0.003	1752	2013-08-07
CATA	-28.470985029061833	-65.77412091331433	-0.002	0.001	1752	2013-08-07
CHAC	-27.42043994273047	-58.959693116768456	0.000	-0.000	1752	2013-08-07
CSLO	-31.78488726582588	-69.30221395819393	0.017	0.040	1752	2013-08-07
EBYP	-27.36894412524986	-55.89217452451775	-0.001	-0.001	1752	2013-08-07
ESQU	-42.91711362530842	-71.32340060433296	-0.002	0.001	1752	2013-08-07
GUAY	-31.869130428540167	-59.02622282602728	-0.000	-0.001	1752	2013-08-07
IGM1	-34.57224370224664	-58.4393193260698	-0.003	-0.003	1752	2013-08-07
JBAL	-27.584408297893866	-65.62274965425992	0.007	0.009	1752	2013-08-07
LHCL	-38.00265952311207	-65.59524722917732	-0.002	0.034	1752	2013-08-07
LPGS	-34.906745112175344	-57.93229954069133	-0.000	0.000	1752	2013-08-07
MGUE	-35.7773519757052	-69.39791955304007	0.005	-0.059	1752	2013-08-07
MPL2	-38.00576733725101	-57.57129728813324	0.001	0.001	1752	2013-08-07
MZAC	-32.89515276182431	-68.87557364319174	-0.021	0.040	1752	2013-08-07
MZAE	-33.2548431926997	-68.15006143589231	-0.001	-0.021	1752	2013-08-07
NESA	-40.105393075307816	-64.45400475037691	0.001	-0.002	1752	2013-08-07
PRNA	-31.781435877828756	-60.46943928335337	0.010	0.002	1752	2013-08-07
RIO2	-53.78547188615282	-67.75111788925638	-0.002	-0.010	1752	2013-08-07
SL01	-33.15635627824368	-66.31400958032137	-0.014	-0.009	1752	2013-08-07
SRLP	-36.621499459860786	-64.28040465777126	-0.002	-0.003	1752	2013-08-07
TERO	-27.789145165540354	-64.25678073035498	-0.001	0.002	1752	2013-08-07
TUCU	-26.843255097854012	-65.23035158308355	-0.002	0.003	1752	2013-08-07
UCOR	-31.434959985505085	-64.19350560160618	-0.004	-0.005	1752	2013-08-07
UNPA	-51.64799258327335	-69.20865409567784	0.005	0.000	1752	2013-08-07
UNRO	-32.959352931138326	-60.62842521633276	-0.000	0.002	1752	2013-08-07
UNSA	-24.727456333435057	-65.40764329775263	0.002	-0.001	1752	2013-08-07
UNSJ	-31.54125781896486	-68.57706068957148	0.004	0.018	1752	2013-08-07
UYPA	-32.291249580770206	-58.067188502863395	0.000	-0.001	1752	2013-08-07
UYSO	-33.2612616143228	-58.01361780371121	-0.001	0.001	1752	2013-08-07
VBCA	-38.700768190358396	-62.26922711152452	-0.002	-0.005	1752	2013-08-07
