ep	lat	lon	d_lat	d_lon	gpsweek	date
AZUL	-36.76702223009906	-59.8812801842934	-0.000	0.002	1887	2016-03-09
BCAR	-37.76123356567683	-58.30109509354228	-0.006	-0.001	1887	2016-03-09
CATA	-28.470985029061833	-65.77412091331433	-0.014	-0.004	1887	2016-03-09
CORD	-31.52843459008249	-64.47004826897802	-0.006	0.001	1887	2016-03-09
CSLO	-31.78488726582588	-69.30221395819393	0.024	0.013	1887	2016-03-09
EBYP	-27.36894412524986	-55.89217452451775	-0.001	-0.001	1887	2016-03-09
ESQU	-42.91711362530842	-71.32340060433296	-0.000	-0.003	1887	2016-03-09
GUAY	-31.869130428540167	-59.02622282602728	-0.000	-0.001	1887	2016-03-09
IGM1	-34.57224370224664	-58.4393193260698	-0.006	0.002	1887	2016-03-09
JBAL	-27.584408297893866	-65.62274965425992	-0.004	0.008	1887	2016-03-09
LHCL	-38.00265952311207	-65.59524722917732	-0.004	0.011	1887	2016-03-09
LPGS	-34.906745112175344	-57.93229954069133	-0.000	0.000	1887	2016-03-09
MA01	-38.951048919885025	-68.05735158169708	0.001	-0.002	1887	2016-03-09
MGUE	-35.7773519757052	-69.39791955304007	0.022	-0.131	1887	2016-03-09
MPL2	-38.00576733725101	-57.57129728813324	0.001	0.003	1887	2016-03-09
MZAC	-32.89515276182431	-68.87557364319174	0.007	0.029	1887	2016-03-09
MZAE	-33.2548431926997	-68.15006143589231	-0.000	-0.014	1887	2016-03-09
MZAL	-32.72071487374723	-68.59522290745585	0.008	0.037	1887	2016-03-09
MZAU	-33.73595663937883	-69.11841199430093	-0.009	0.022	1887	2016-03-09
MZGA	-34.97843322273402	-67.69616573922097	-0.021	0.064	1887	2016-03-09
NESA	-40.105393075307816	-64.45400475037691	0.003	-0.006	1887	2016-03-09
PEJO	-35.80632460569043	-61.894638641610676	-0.002	0.003	1887	2016-03-09
PRNA	-31.781435877828756	-60.46943928335337	0.012	0.001	1887	2016-03-09
RECO	-29.14635862122474	-59.66442943950647	0.000	-0.002	1887	2016-03-09
RIO2	-53.78547188615282	-67.75111788925638	-0.001	-0.014	1887	2016-03-09
RSAL	-29.789444676676577	-55.768839926369246	0.000	0.001	1887	2016-03-09
RSCL	-28.141879535665133	-54.754759511457145	-0.002	-0.000	1887	2016-03-09
RWSN	-43.298880660070104	-65.10724833970625	0.000	0.007	1887	2016-03-09
SL01	-33.15635627824368	-66.31400958032137	-0.015	-0.012	1887	2016-03-09
SRLP	-36.621499459860786	-64.28040465777126	-0.002	-0.003	1887	2016-03-09
TERO	-27.789145165540354	-64.25678073035498	0.000	0.004	1887	2016-03-09
UCOR	-31.434959985505085	-64.19350560160618	-0.002	-0.006	1887	2016-03-09
UNPA	-51.64799258327335	-69.20865409567784	0.003	-0.002	1887	2016-03-09
UNRO	-32.959352931138326	-60.62842521633276	0.000	0.001	1887	2016-03-09
UNSA	-24.727456333435057	-65.40764329775263	0.000	-0.001	1887	2016-03-09
UNSJ	-31.54125781896486	-68.57706068957148	-0.014	0.030	1887	2016-03-09
UYCO	-34.462987084415765	-57.83538153781182	-0.001	-0.006	1887	2016-03-09
UYPA	-32.291249580770206	-58.067188502863395	0.001	-0.000	1887	2016-03-09
UYSA	-31.375171818146526	-57.95978005460757	-0.001	-0.004	1887	2016-03-09
UYSO	-33.2612616143228	-58.01361780371121	-0.000	0.001	1887	2016-03-09
UYTD	-30.946270341751447	-57.52450132296068	0.000	0.001	1887	2016-03-09
VBCA	-38.700768190358396	-62.26922711152452	-0.000	-0.011	1887	2016-03-09
YEMA	-24.280730908188566	-61.236506049181756	-0.001	-0.002	1887	2016-03-09
