ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.001	-0.002	1644	2011-07-13
AUTF	-54.83952495941909	-68.30356658110837	0.002	0.020	1644	2011-07-13
AZUL	-36.76702223009906	-59.8812801842934	0.002	-0.008	1644	2011-07-13
BCAR	-37.76123356567683	-58.30109509354228	-0.006	0.004	1644	2011-07-13
CATA	-28.470985029061833	-65.77412091331433	-0.000	-0.004	1644	2011-07-13
COYQ	-45.51434093340902	-71.89208081758498	-0.031	0.033	1644	2011-07-13
CSLO	-31.78488726582588	-69.30221395819393	0.026	0.069	1644	2011-07-13
EBYP	-27.36894412524986	-55.89217452451775	-0.001	0.001	1644	2011-07-13
ESQU	-42.91711362530842	-71.32340060433296	-0.014	0.043	1644	2011-07-13
IGM1	-34.57224370224664	-58.4393193260698	0.000	-0.006	1644	2011-07-13
JBAL	-27.584408297893866	-65.62274965425992	0.003	0.011	1644	2011-07-13
LHCL	-38.00265952311207	-65.59524722917732	-0.007	-0.010	1644	2011-07-13
LPGS	-34.906745112175344	-57.93229954069133	-0.000	0.001	1644	2011-07-13
MA01	-38.951048919885025	-68.05735158169708	0.052	-0.052	1644	2011-07-13
MECO	-29.184887143117987	-58.075845330311196	0.001	0.001	1644	2011-07-13
MPL2	-38.00576733725101	-57.57129728813324	0.007	-0.001	1644	2011-07-13
MZAC	-32.89515276182431	-68.87557364319174	-0.018	-0.047	1644	2011-07-13
MZAE	-33.2548431926997	-68.15006143589231	-0.002	-0.043	1644	2011-07-13
RIO2	-53.78547188615282	-67.75111788925638	0.002	-0.011	1644	2011-07-13
SANT	-33.15028802568159	-70.66855372004432	-0.092	-0.150	1644	2011-07-13
SL01	-33.15635627824368	-66.31400958032137	-0.062	-0.008	1644	2011-07-13
SRLP	-36.621499459860786	-64.28040465777126	-0.007	-0.006	1644	2011-07-13
SVIC	-26.993713676290895	-54.48752051750666	0.003	0.001	1644	2011-07-13
TERO	-27.789145165540354	-64.25678073035498	0.002	-0.012	1644	2011-07-13
TUCU	-26.843255097854012	-65.23035158308355	-0.005	-0.003	1644	2011-07-13
UCOR	-31.434959985505085	-64.19350560160618	0.029	0.013	1644	2011-07-13
UNRO	-32.959352931138326	-60.62842521633276	-0.002	-0.007	1644	2011-07-13
UNSA	-24.727456333435057	-65.40764329775263	0.010	-0.019	1644	2011-07-13
UNSJ	-31.54125781896486	-68.57706068957148	0.015	0.043	1644	2011-07-13
UYPA	-32.291249580770206	-58.067188502863395	0.000	0.006	1644	2011-07-13
UYSO	-33.2612616143228	-58.01361780371121	-0.000	0.006	1644	2011-07-13
VBCA	-38.700768190358396	-62.26922711152452	0.002	0.016	1644	2011-07-13
YCBA	-22.0171034483961	-63.67998476251615	0.010	0.008	1644	2011-07-13
