ep	lat	lon	d_lat	d_lon	gpsweek	date
ABRA	-22.722035408913435	-65.69730946312445	0.025	0.076	1946	2017-04-26
AGGO	-34.873708096375246	-58.13985640589829	-0.003	0.001	1946	2017-04-26
AUTF	-54.83952495941909	-68.30356658110837	-0.011	0.056	1946	2017-04-26
AZUL	-36.76702223009906	-59.8812801842934	0.008	-0.008	1946	2017-04-26
BCAR	-37.76123356567683	-58.30109509354228	-0.007	0.002	1946	2017-04-26
BCH1	-41.146773039395406	-71.29891259703122	-0.032	0.051	1946	2017-04-26
CATA	-28.470985029061833	-65.77412091331433	-0.008	-0.001	1946	2017-04-26
CHAC	-27.42043994273047	-58.959693116768456	0.007	0.013	1946	2017-04-26
CORD	-31.52843459008249	-64.47004826897802	0.001	0.004	1946	2017-04-26
CSLO	-31.78488726582588	-69.30221395819393	0.073	0.034	1946	2017-04-26
ESQU	-42.91711362530842	-71.32340060433296	-0.026	-0.001	1946	2017-04-26
GUAY	-31.869130428540167	-59.02622282602728	-0.010	-0.004	1946	2017-04-26
IGM1	-34.57224370224664	-58.4393193260698	0.001	0.000	1946	2017-04-26
JBAL	-27.584408297893866	-65.62274965425992	0.007	0.020	1946	2017-04-26
LPGS	-34.906745112175344	-57.93229954069133	0.004	0.001	1946	2017-04-26
MA01	-38.951048919885025	-68.05735158169708	0.059	0.087	1946	2017-04-26
MGUE	-35.7773519757052	-69.39791955304007	0.160	-0.390	1946	2017-04-26
MPL2	-38.00576733725101	-57.57129728813324	0.008	0.004	1946	2017-04-26
MZAE	-33.2548431926997	-68.15006143589231	0.032	0.206	1946	2017-04-26
MZAU	-33.73595663937883	-69.11841199430093	0.008	-0.085	1946	2017-04-26
MZGA	-34.97843322273402	-67.69616573922097	-0.041	0.239	1946	2017-04-26
MZRF	-34.61237727124794	-68.33148224536684	-0.014	-0.224	1946	2017-04-26
NESA	-40.105393075307816	-64.45400475037691	-0.016	0.005	1946	2017-04-26
PEJO	-35.80632460569043	-61.894638641610676	-0.018	0.022	1946	2017-04-26
PRCV	-24.962753927614642	-53.46632948558449	0.016	0.005	1946	2017-04-26
PRNA	-31.781435877828756	-60.46943928335337	0.014	-0.002	1946	2017-04-26
RECO	-29.14635862122474	-59.66442943950647	0.000	0.007	1946	2017-04-26
RIO2	-53.78547188615282	-67.75111788925638	-0.011	-0.032	1946	2017-04-26
RSAL	-29.789444676676577	-55.768839926369246	0.002	0.006	1946	2017-04-26
RSCL	-28.141879535665133	-54.754759511457145	0.001	0.001	1946	2017-04-26
RWSN	-43.298880660070104	-65.10724833970625	-0.005	0.108	1946	2017-04-26
SANT	-33.15028802568159	-70.66855372004432	-0.065	0.021	1946	2017-04-26
SL01	-33.15635627824368	-66.31400958032137	-0.038	0.157	1946	2017-04-26
SRLP	-36.621499459860786	-64.28040465777126	0.030	0.016	1946	2017-04-26
SVIC	-26.993713676290895	-54.48752051750666	-0.013	-0.001	1946	2017-04-26
TUCU	-26.843255097854012	-65.23035158308355	-0.006	-0.006	1946	2017-04-26
UCOR	-31.434959985505085	-64.19350560160618	0.012	0.007	1946	2017-04-26
UNPA	-51.64799258327335	-69.20865409567784	0.030	-0.021	1946	2017-04-26
UNRO	-32.959352931138326	-60.62842521633276	-0.011	-0.002	1946	2017-04-26
UNSA	-24.727456333435057	-65.40764329775263	0.000	-0.045	1946	2017-04-26
UNSJ	-31.54125781896486	-68.57706068957148	-0.003	0.089	1946	2017-04-26
UYCO	-34.462987084415765	-57.83538153781182	-0.002	-0.004	1946	2017-04-26
UYPA	-32.291249580770206	-58.067188502863395	0.007	0.003	1946	2017-04-26
UYSA	-31.375171818146526	-57.95978005460757	-0.001	-0.002	1946	2017-04-26
UYSO	-33.2612616143228	-58.01361780371121	-0.000	0.010	1946	2017-04-26
UYTD	-30.946270341751447	-57.52450132296068	-0.000	0.004	1946	2017-04-26
VBCA	-38.700768190358396	-62.26922711152452	-0.002	0.000	1946	2017-04-26
YCBA	-22.0171034483961	-63.67998476251615	-0.001	-0.026	1946	2017-04-26
YEMA	-24.280730908188566	-61.236506049181756	-0.002	-0.013	1946	2017-04-26
