ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	0.000	-0.002	1682	2012-04-04
AUTF	-54.83952495941909	-68.30356658110837	-0.006	0.023	1682	2012-04-04
AZUL	-36.76702223009906	-59.8812801842934	0.002	-0.009	1682	2012-04-04
BCAR	-37.76123356567683	-58.30109509354228	-0.006	0.002	1682	2012-04-04
CATA	-28.470985029061833	-65.77412091331433	-0.003	-0.003	1682	2012-04-04
CHAC	-27.42043994273047	-58.959693116768456	0.009	0.017	1682	2012-04-04
CSLO	-31.78488726582588	-69.30221395819393	0.029	0.075	1682	2012-04-04
ESQU	-42.91711362530842	-71.32340060433296	-0.015	0.029	1682	2012-04-04
GUAY	-31.869130428540167	-59.02622282602728	-0.007	-0.005	1682	2012-04-04
IGM1	-34.57224370224664	-58.4393193260698	-0.003	-0.004	1682	2012-04-04
JBAL	-27.584408297893866	-65.62274965425992	0.004	0.012	1682	2012-04-04
LPGS	-34.906745112175344	-57.93229954069133	0.002	0.001	1682	2012-04-04
MPL2	-38.00576733725101	-57.57129728813324	0.006	0.000	1682	2012-04-04
MZAC	-32.89515276182431	-68.87557364319174	-0.018	-0.046	1682	2012-04-04
MZAE	-33.2548431926997	-68.15006143589231	-0.004	-0.052	1682	2012-04-04
NESA	-40.105393075307816	-64.45400475037691	0.010	-0.002	1682	2012-04-04
PRNA	-31.781435877828756	-60.46943928335337	0.009	0.000	1682	2012-04-04
RIO2	-53.78547188615282	-67.75111788925638	-0.009	-0.011	1682	2012-04-04
RWSN	-43.298880660070104	-65.10724833970625	0.000	0.016	1682	2012-04-04
SANT	-33.15028802568159	-70.66855372004432	-0.092	-0.148	1682	2012-04-04
SL01	-33.15635627824368	-66.31400958032137	-0.062	-0.011	1682	2012-04-04
SRLP	-36.621499459860786	-64.28040465777126	-0.006	-0.031	1682	2012-04-04
SVIC	-26.993713676290895	-54.48752051750666	-0.004	0.003	1682	2012-04-04
TERO	-27.789145165540354	-64.25678073035498	0.004	-0.013	1682	2012-04-04
TUCU	-26.843255097854012	-65.23035158308355	-0.005	-0.006	1682	2012-04-04
UCOR	-31.434959985505085	-64.19350560160618	0.027	0.013	1682	2012-04-04
UNPA	-51.64799258327335	-69.20865409567784	0.025	-0.001	1682	2012-04-04
UNRO	-32.959352931138326	-60.62842521633276	-0.009	-0.002	1682	2012-04-04
UNSA	-24.727456333435057	-65.40764329775263	0.013	-0.021	1682	2012-04-04
UNSJ	-31.54125781896486	-68.57706068957148	0.016	0.047	1682	2012-04-04
UYPA	-32.291249580770206	-58.067188502863395	0.004	0.001	1682	2012-04-04
UYSO	-33.2612616143228	-58.01361780371121	-0.001	0.007	1682	2012-04-04
VBCA	-38.700768190358396	-62.26922711152452	0.003	0.002	1682	2012-04-04
YCBA	-22.0171034483961	-63.67998476251615	0.010	0.010	1682	2012-04-04
