ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.001	-0.003	1675	2012-02-15
AUTF	-54.83952495941909	-68.30356658110837	0.002	0.025	1675	2012-02-15
AZUL	-36.76702223009906	-59.8812801842934	0.001	-0.008	1675	2012-02-15
BCAR	-37.76123356567683	-58.30109509354228	-0.006	0.002	1675	2012-02-15
CATA	-28.470985029061833	-65.77412091331433	-0.001	-0.002	1675	2012-02-15
COYQ	-45.51434093340902	-71.89208081758498	-0.046	0.051	1675	2012-02-15
CSLO	-31.78488726582588	-69.30221395819393	0.031	0.072	1675	2012-02-15
IGM1	-34.57224370224664	-58.4393193260698	-0.004	-0.001	1675	2012-02-15
JBAL	-27.584408297893866	-65.62274965425992	0.002	0.010	1675	2012-02-15
LPGS	-34.906745112175344	-57.93229954069133	0.002	-0.002	1675	2012-02-15
MA01	-38.951048919885025	-68.05735158169708	0.060	-0.084	1675	2012-02-15
MECO	-29.184887143117987	-58.075845330311196	0.001	0.008	1675	2012-02-15
MPL2	-38.00576733725101	-57.57129728813324	0.005	0.000	1675	2012-02-15
MZAC	-32.89515276182431	-68.87557364319174	-0.019	-0.044	1675	2012-02-15
MZAE	-33.2548431926997	-68.15006143589231	-0.003	-0.051	1675	2012-02-15
RIO2	-53.78547188615282	-67.75111788925638	0.001	-0.012	1675	2012-02-15
RWSN	-43.298880660070104	-65.10724833970625	-0.009	0.036	1675	2012-02-15
SANT	-33.15028802568159	-70.66855372004432	-0.093	-0.151	1675	2012-02-15
SL01	-33.15635627824368	-66.31400958032137	-0.061	-0.012	1675	2012-02-15
SRLP	-36.621499459860786	-64.28040465777126	-0.019	-0.007	1675	2012-02-15
SVIC	-26.993713676290895	-54.48752051750666	-0.003	0.001	1675	2012-02-15
TERO	-27.789145165540354	-64.25678073035498	0.003	-0.010	1675	2012-02-15
TUCU	-26.843255097854012	-65.23035158308355	-0.003	-0.005	1675	2012-02-15
UCOR	-31.434959985505085	-64.19350560160618	0.031	0.015	1675	2012-02-15
UNRO	-32.959352931138326	-60.62842521633276	-0.008	-0.003	1675	2012-02-15
UNSA	-24.727456333435057	-65.40764329775263	0.012	-0.017	1675	2012-02-15
UNSJ	-31.54125781896486	-68.57706068957148	0.013	0.047	1675	2012-02-15
UYPA	-32.291249580770206	-58.067188502863395	0.006	-0.001	1675	2012-02-15
UYSO	-33.2612616143228	-58.01361780371121	-0.001	0.007	1675	2012-02-15
VBCA	-38.700768190358396	-62.26922711152452	0.011	-0.005	1675	2012-02-15
YCBA	-22.0171034483961	-63.67998476251615	0.009	0.008	1675	2012-02-15
