ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.001	-0.003	1696	2012-07-11
AUTF	-54.83952495941909	-68.30356658110837	-0.007	0.024	1696	2012-07-11
AZUL	-36.76702223009906	-59.8812801842934	0.002	-0.010	1696	2012-07-11
BCAR	-37.76123356567683	-58.30109509354228	-0.006	0.004	1696	2012-07-11
CATA	-28.470985029061833	-65.77412091331433	-0.002	-0.001	1696	2012-07-11
CHAC	-27.42043994273047	-58.959693116768456	0.007	0.011	1696	2012-07-11
CSLO	-31.78488726582588	-69.30221395819393	0.030	0.078	1696	2012-07-11
EBYP	-27.36894412524986	-55.89217452451775	0.001	-0.003	1696	2012-07-11
ESQU	-42.91711362530842	-71.32340060433296	-0.039	0.062	1696	2012-07-11
GUAY	-31.869130428540167	-59.02622282602728	-0.004	-0.003	1696	2012-07-11
IGM1	-34.57224370224664	-58.4393193260698	0.002	-0.006	1696	2012-07-11
JBAL	-27.584408297893866	-65.62274965425992	0.007	0.008	1696	2012-07-11
LHCL	-38.00265952311207	-65.59524722917732	-0.010	-0.015	1696	2012-07-11
LPGS	-34.906745112175344	-57.93229954069133	-0.001	0.003	1696	2012-07-11
MA01	-38.951048919885025	-68.05735158169708	0.058	-0.060	1696	2012-07-11
MECO	-29.184887143117987	-58.075845330311196	-0.003	0.002	1696	2012-07-11
MPL2	-38.00576733725101	-57.57129728813324	0.007	-0.000	1696	2012-07-11
MZAC	-32.89515276182431	-68.87557364319174	-0.019	-0.046	1696	2012-07-11
MZAE	-33.2548431926997	-68.15006143589231	-0.028	-0.084	1696	2012-07-11
NESA	-40.105393075307816	-64.45400475037691	-0.012	0.041	1696	2012-07-11
PRNA	-31.781435877828756	-60.46943928335337	0.008	-0.002	1696	2012-07-11
RIO2	-53.78547188615282	-67.75111788925638	-0.009	-0.012	1696	2012-07-11
RWSN	-43.298880660070104	-65.10724833970625	-0.016	0.039	1696	2012-07-11
SANT	-33.15028802568159	-70.66855372004432	-0.092	-0.149	1696	2012-07-11
SRLP	-36.621499459860786	-64.28040465777126	-0.013	-0.000	1696	2012-07-11
SVIC	-26.993713676290895	-54.48752051750666	-0.004	-0.003	1696	2012-07-11
TERO	-27.789145165540354	-64.25678073035498	0.004	-0.013	1696	2012-07-11
TUCU	-26.843255097854012	-65.23035158308355	-0.009	-0.002	1696	2012-07-11
UCOR	-31.434959985505085	-64.19350560160618	-0.014	-0.015	1696	2012-07-11
UNPA	-51.64799258327335	-69.20865409567784	0.026	0.000	1696	2012-07-11
UNRO	-32.959352931138326	-60.62842521633276	-0.005	-0.003	1696	2012-07-11
UNSA	-24.727456333435057	-65.40764329775263	0.013	-0.019	1696	2012-07-11
UNSJ	-31.54125781896486	-68.57706068957148	0.014	0.046	1696	2012-07-11
UYSO	-33.2612616143228	-58.01361780371121	-0.000	0.010	1696	2012-07-11
VBCA	-38.700768190358396	-62.26922711152452	0.002	0.003	1696	2012-07-11
YCBA	-22.0171034483961	-63.67998476251615	0.009	0.006	1696	2012-07-11
