ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.000	-0.001	1661	2011-11-09
AUTF	-54.83952495941909	-68.30356658110837	0.002	0.022	1661	2011-11-09
AZUL	-36.76702223009906	-59.8812801842934	0.002	-0.008	1661	2011-11-09
BCAR	-37.76123356567683	-58.30109509354228	-0.005	0.003	1661	2011-11-09
CATA	-28.470985029061833	-65.77412091331433	0.000	-0.001	1661	2011-11-09
COYQ	-45.51434093340902	-71.89208081758498	-0.033	0.043	1661	2011-11-09
CSLO	-31.78488726582588	-69.30221395819393	0.028	0.071	1661	2011-11-09
EBYP	-27.36894412524986	-55.89217452451775	-0.002	-0.000	1661	2011-11-09
ESQU	-42.91711362530842	-71.32340060433296	-0.013	0.025	1661	2011-11-09
IGM1	-34.57224370224664	-58.4393193260698	-0.001	-0.003	1661	2011-11-09
JBAL	-27.584408297893866	-65.62274965425992	0.000	0.007	1661	2011-11-09
LHCL	-38.00265952311207	-65.59524722917732	-0.010	-0.011	1661	2011-11-09
LPGS	-34.906745112175344	-57.93229954069133	0.001	-0.002	1661	2011-11-09
MA01	-38.951048919885025	-68.05735158169708	0.055	-0.053	1661	2011-11-09
MECO	-29.184887143117987	-58.075845330311196	-0.000	0.006	1661	2011-11-09
MPL2	-38.00576733725101	-57.57129728813324	0.006	-0.000	1661	2011-11-09
MZAC	-32.89515276182431	-68.87557364319174	-0.018	-0.046	1661	2011-11-09
MZAE	-33.2548431926997	-68.15006143589231	-0.003	-0.047	1661	2011-11-09
RIO2	-53.78547188615282	-67.75111788925638	0.000	-0.011	1661	2011-11-09
RWSN	-43.298880660070104	-65.10724833970625	-0.015	0.037	1661	2011-11-09
SANT	-33.15028802568159	-70.66855372004432	-0.091	-0.150	1661	2011-11-09
SL01	-33.15635627824368	-66.31400958032137	-0.061	-0.011	1661	2011-11-09
SRLP	-36.621499459860786	-64.28040465777126	-0.007	-0.007	1661	2011-11-09
SVIC	-26.993713676290895	-54.48752051750666	0.003	-0.001	1661	2011-11-09
TERO	-27.789145165540354	-64.25678073035498	0.002	-0.010	1661	2011-11-09
TUCU	-26.843255097854012	-65.23035158308355	-0.001	-0.003	1661	2011-11-09
UCOR	-31.434959985505085	-64.19350560160618	0.030	0.014	1661	2011-11-09
UNRO	-32.959352931138326	-60.62842521633276	-0.005	-0.005	1661	2011-11-09
UNSA	-24.727456333435057	-65.40764329775263	0.013	-0.017	1661	2011-11-09
UNSJ	-31.54125781896486	-68.57706068957148	0.014	0.045	1661	2011-11-09
UYPA	-32.291249580770206	-58.067188502863395	-0.001	0.004	1661	2011-11-09
UYSO	-33.2612616143228	-58.01361780371121	0.001	0.006	1661	2011-11-09
VBCA	-38.700768190358396	-62.26922711152452	0.005	0.019	1661	2011-11-09
YCBA	-22.0171034483961	-63.67998476251615	0.008	0.007	1661	2011-11-09
