ep	lat	lon	d_lat	d_lon	gpsweek	date
ALUM	-27.32342674159197	-66.5966282660134	-0.002	-0.010	1754	2013-08-21
AUTF	-54.83952495941909	-68.30356658110837	-0.005	0.031	1754	2013-08-21
AZUL	-36.76702223009906	-59.8812801842934	0.001	-0.010	1754	2013-08-21
BCAR	-37.76123356567683	-58.30109509354228	-0.007	0.003	1754	2013-08-21
CATA	-28.470985029061833	-65.77412091331433	-0.009	0.001	1754	2013-08-21
CHAC	-27.42043994273047	-58.959693116768456	0.008	0.014	1754	2013-08-21
CSLO	-31.78488726582588	-69.30221395819393	0.033	0.082	1754	2013-08-21
EBYP	-27.36894412524986	-55.89217452451775	-0.001	0.002	1754	2013-08-21
ESQU	-42.91711362530842	-71.32340060433296	-0.039	0.234	1754	2013-08-21
GUAY	-31.869130428540167	-59.02622282602728	-0.010	-0.006	1754	2013-08-21
IGM1	-34.57224370224664	-58.4393193260698	-0.002	-0.006	1754	2013-08-21
JBAL	-27.584408297893866	-65.62274965425992	0.007	0.011	1754	2013-08-21
LHCL	-38.00265952311207	-65.59524722917732	0.010	-0.047	1754	2013-08-21
LPGS	-34.906745112175344	-57.93229954069133	0.002	0.002	1754	2013-08-21
MGUE	-35.7773519757052	-69.39791955304007	0.139	-0.605	1754	2013-08-21
MPL2	-38.00576733725101	-57.57129728813324	0.007	-0.000	1754	2013-08-21
MZAC	-32.89515276182431	-68.87557364319174	-0.021	-0.052	1754	2013-08-21
MZAE	-33.2548431926997	-68.15006143589231	-0.002	-0.048	1754	2013-08-21
NESA	-40.105393075307816	-64.45400475037691	0.008	0.026	1754	2013-08-21
PRNA	-31.781435877828756	-60.46943928335337	0.017	0.004	1754	2013-08-21
RIO2	-53.78547188615282	-67.75111788925638	-0.010	-0.019	1754	2013-08-21
SL01	-33.15635627824368	-66.31400958032137	-0.066	-0.019	1754	2013-08-21
SRLP	-36.621499459860786	-64.28040465777126	-0.015	0.001	1754	2013-08-21
SVIC	-26.993713676290895	-54.48752051750666	-0.002	-0.002	1754	2013-08-21
TERO	-27.789145165540354	-64.25678073035498	0.007	-0.015	1754	2013-08-21
TUCU	-26.843255097854012	-65.23035158308355	-0.004	0.001	1754	2013-08-21
UCOR	-31.434959985505085	-64.19350560160618	0.027	0.012	1754	2013-08-21
UNPA	-51.64799258327335	-69.20865409567784	0.030	-0.003	1754	2013-08-21
UNRO	-32.959352931138326	-60.62842521633276	-0.013	-0.003	1754	2013-08-21
UNSA	-24.727456333435057	-65.40764329775263	0.016	-0.016	1754	2013-08-21
UNSJ	-31.54125781896486	-68.57706068957148	0.014	0.047	1754	2013-08-21
UYPA	-32.291249580770206	-58.067188502863395	0.003	-0.000	1754	2013-08-21
UYSO	-33.2612616143228	-58.01361780371121	-0.001	0.008	1754	2013-08-21
VBCA	-38.700768190358396	-62.26922711152452	0.002	0.003	1754	2013-08-21
YCBA	-22.0171034483961	-63.67998476251615	0.010	0.004	1754	2013-08-21
